,address,price,city,state,zipcode,beds,baths,size,type,lat,lng,geometry,name
0,2226 Pecan Grove Ct,503900, Dallas,TX,75228,3 ,3 ,2434,House,32.811456,-96.703775,POINT (-96.70377499999999 32.811456),East Dallas
21,719 Parkhurst Dr,399000, Dallas,TX,75218,3 ,2 ,1446,House,32.849672999999996,-96.706613,POINT (-96.706613 32.849673),East Dallas
25,11318 Aledo Dr,230000, Dallas,TX,75228,3 ,2 ,1312,House,32.849374,-96.680053,POINT (-96.680053 32.849374),East Dallas
31,2338 Pinebluff Dr,425000, Dallas,TX,75228,3 ,3 ,2138,House,32.806073,-96.706345,POINT (-96.706345 32.806073),East Dallas
74,3322 Crest Ridge Dr,215000, Dallas,TX,75228,3 ,2 ,1269,House,32.828649,-96.65955699999999,POINT (-96.65955699999999 32.828649),East Dallas
88,1819 Oates Dr,390000, Dallas,TX,75228,3 ,2 ,1332,House,32.821782,-96.68340500000001,POINT (-96.68340500000001 32.821782),East Dallas
89,2730 Tisinger Ave,265000, Dallas,TX,75228,3 ,2 ,1437,House,32.849414,-96.66752199999999,POINT (-96.66752199999999 32.849414),East Dallas
100,10714 Cotillion Dr,239500, Dallas,TX,75228,4 ,2 ,1342,House,32.83752,-96.66299000000001,POINT (-96.66299000000001 32.83752),East Dallas
110,11021 Ridgemeadow Dr,509900, Dallas,TX,75218,3 ,2 ,1904,House,32.858484000000004,-96.693726,POINT (-96.693726 32.858484),East Dallas
118,8626 Santa Clara Dr,395000, Dallas,TX,75218,3 ,1 ,1456,House,32.820336,-96.709675,POINT (-96.709675 32.820336),East Dallas
122,1717 Tisinger Ave,340000, Dallas,TX,75228,4 ,3 ,1876,House,32.849719,-96.679133,POINT (-96.67913299999999 32.849719),East Dallas
140,1435 Waterside Dr,750000, Dallas,TX,75218,4 ,4 ,3017,House,32.810561,-96.723837,POINT (-96.723837 32.810561),East Dallas
144,9337 Redondo Dr,939000, Dallas,TX,75218,4 ,4 ,4204,House,32.829492,-96.701296,POINT (-96.701296 32.829492),East Dallas
154,8116 Barbaree Blvd,475000, Dallas,TX,75228,3 ,2 ,1652,House,32.807233000000004,-96.716008,POINT (-96.716008 32.807233),East Dallas
158,10239 Casa View Dr,275000, Dallas,TX,75228,3 ,2 ,1310,House,32.832329,-96.677513,POINT (-96.677513 32.832329),East Dallas
165,2545 Beechmont Dr,360000, Dallas,TX,75228,4 ,3 ,2128,House,32.822153,-96.686176,POINT (-96.686176 32.822153),East Dallas
169,10750 Cotillion Dr,259000, Dallas,TX,75228,3 ,3 ,1739,House,32.838079,-96.661675,POINT (-96.661675 32.838079),East Dallas
178,8921 Vinewood Dr,459900, Dallas,TX,75228,3 ,2 ,1870,House,32.816826,-96.70022900000001,POINT (-96.70022900000001 32.816826),East Dallas
201,9526 Tarleton St,512500, Dallas,TX,75218,3 ,2 ,2005,House,32.845137,-96.710288,POINT (-96.71028800000001 32.845137),East Dallas
211,2624 Lakeland Dr,290000, Dallas,TX,75228,4 ,2 ,1700,House,32.807967,-96.69673900000001,POINT (-96.69673900000001 32.807967),East Dallas
225,1407 Oates Dr,409900, Dallas,TX,75228,3 ,3 ,1693,House,32.82036,-96.691361,POINT (-96.691361 32.82036),East Dallas
238,1807 Wonderlight Ln,335000, Dallas,TX,75228,3 ,3 ,2552,House,32.814102,-96.68415999999999,POINT (-96.68415999999999 32.814102),East Dallas
243,7926 Glade Creek Ct,565000, Dallas,TX,75218,3 ,2 ,2359,House,32.806833000000005,-96.721295,POINT (-96.721295 32.806833),East Dallas
256,8309 Capriola Ln,150000, Dallas,TX,75228,3 ,2 ,1646,House,32.807978999999996,-96.679222,POINT (-96.679222 32.807979),East Dallas
259,2216 Peavy Cir,439900, Dallas,TX,75228,5 ,4 ,2833,House,32.825540000000004,-96.68321800000001,POINT (-96.68321800000001 32.82554),East Dallas
260,11303 Flamingo Ln,399000, Dallas,TX,75218,3 ,2 ,1872,House,32.854073,-96.685703,POINT (-96.685703 32.854073),East Dallas
267,9106 San Fernando Way,387500, Dallas,TX,75218,2 ,1 ,1731,House,32.827146,-96.706528,POINT (-96.70652800000001 32.827146),East Dallas
276,1206 N Selva Dr,295000, Dallas,TX,75218,2 ,2 ,1320,House,32.83767,-96.69680600000001,POINT (-96.69680600000001 32.83767),East Dallas
277,1706 Lakeland Dr,362000, Dallas,TX,75218,2 ,1 ,932,House,32.817997,-96.708469,POINT (-96.70846899999999 32.817997),East Dallas
282,11621 Tuscany Way,365000, Dallas,TX,75218,3 ,2 ,1555,House,32.853426,-96.69107199999999,POINT (-96.69107199999999 32.853426),East Dallas
286,10903 Aledo Dr,200000, Dallas,TX,75228,3 ,1 ,1200,House,32.845166,-96.682956,POINT (-96.682956 32.845166),East Dallas
299,10129 Lingo Ln,314900, Dallas,TX,75228,4 ,2 ,1812,House,32.830599,-96.6781,POINT (-96.6781 32.830599),East Dallas
307,3516 Delford Cir,385000, Dallas,TX,75228,5 ,3 ,2626,House,32.845442999999996,-96.66014,POINT (-96.66014 32.845443),East Dallas
328,8171 San Cristobal Dr,685000, Dallas,TX,75218,4 ,3 ,2518,House,32.808791,-96.715696,POINT (-96.71569599999999 32.808791),East Dallas
351,2644 Lakeland Dr,485000, Dallas,TX,75228,4 ,4 ,2748,House,32.807363,-96.696009,POINT (-96.696009 32.807363),East Dallas
358,1871 Stevens Bluff Ln,699900, Dallas,TX,75208,4 ,3 ,2417,House,32.834184,-96.68765400000001,POINT (-96.68765400000001 32.834184),East Dallas
359,11622 Sasanqua Ln,533000, Dallas,TX,75218,4 ,3 ,2132,House,32.852304,-96.69823000000001,POINT (-96.69823000000001 32.852304),East Dallas
391,3216 San Lucas Ave,220000, Dallas,TX,75228,3 ,2 ,1392,House,32.831299,-96.66154399999999,POINT (-96.66154399999999 32.831299),East Dallas
398,9303 Redondo Dr,549000, Dallas,TX,75218,3 ,2 ,2194,House,32.827999,-96.702903,POINT (-96.70290300000001 32.827999),East Dallas
412,8158 Barbaree Blvd,695000, Dallas,TX,75228,3 ,3 ,2400,House,32.807559000000005,-96.714402,POINT (-96.71440200000001 32.807559),East Dallas
415,2527 Pinebluff Dr,424000, Dallas,TX,75228,4 ,3 ,2954,House,32.80325,-96.702157,POINT (-96.702157 32.80325),East Dallas
416,7735 Claremont Dr,259999, Dallas,TX,75228,3 ,2 ,1384,House,32.795649,-96.71224000000001,POINT (-96.71224000000001 32.795649),East Dallas
430,11619 Lochwood Blvd,459900, Dallas,TX,75218,3 ,2 ,1876,House,32.852746999999994,-96.69195500000001,POINT (-96.69195500000001 32.85274699999999),East Dallas
463,10518 Ferguson Rd,170000, Dallas,TX,75228,3 ,1 ,1125,House,32.83939,-96.668224,POINT (-96.668224 32.83939),East Dallas
507,10815 Joaquin Dr,189900, Dallas,TX,75228,2 ,1 ,1140,House,32.844499,-96.673028,POINT (-96.673028 32.844499),East Dallas
516,3104 San Paula Ave,299000, Dallas,TX,75228,3 ,2 ,1210,House,32.832164,-96.663524,POINT (-96.663524 32.832164),East Dallas
545,2435 Hillsboro Ave,349900, Dallas,TX,75228,3 ,2 ,1687,House,32.816006,-96.673647,POINT (-96.673647 32.816006),East Dallas
559,11916 Loch Ness Dr,549500, Dallas,TX,75218,4 ,3 ,3992,House,32.858876,-96.689327,POINT (-96.68932700000001 32.858876),East Dallas
561,3011 Hillglenn Rd,255000, Dallas,TX,75228,4 ,2 ,1688,House,32.826,-96.663111,POINT (-96.663111 32.826),East Dallas
579,10037 Casa Oaks Dr,254900, Dallas,TX,75228,4 ,2 ,1220,House,32.829582,-96.67231600000001,POINT (-96.67231600000001 32.829582),East Dallas
593,2360 Peavy Pl,389000, Dallas,TX,75228,3 ,3 ,1535,House,32.824031,-96.683741,POINT (-96.683741 32.824031),East Dallas
